Celebrity Name,Costume Theme,Dress Type,Fabric,Color Palette,Style Elements,Accessories,Image Link
Deepika Padukone,Red Carpet,Lehenga,Silk,Pastel Pink,Embroidery,Statement Necklace,"https://assets.vogue.in/photos/5ec7ae5110fab20947da90e6/2:3/w_2240,c_limit/deepika%20at%20iifa%202016%20GettyImages-543094816.jpg"
Deepika Padukone,Traditional,Saree,Silk,"Neutrals, Pastels",Traditional Weaving,"Earrings, Bangles",https://royalanarkali.com/wp-content/uploads/2024/04/Deepika-Padukone-Golden-Color-Georgette-Embroidery-Saree-400x800.jpeg
Deepika Padukone,Formal,Gown,Satin,Jewel Tones,Sequins,Minimal Jewelry,https://www.gauriandnainika.com/cdn/shop/files/WoGxh0E8.jpg?v=1689855011&width=1080
Shah Rukh Khan,Red Carpet,Suit,Wool,Black and White,Classic Cut,"Watch, Cufflinks",https://akm-img-a-in.tosshub.com/indiatoday/images/photo_gallery/202408/whatsapp_image_2024-08-11_at_12.03.03_1.jpeg?VersionId=QOmxqBicc93kaLKbo.jRFQyUq8a_22Ls&size=686:*
Shah Rukh Khan,Traditional,Sherwani,Velvet,Black and Gold,Zari Work,"Brooch, Scarf",https://img.mensxp.com/media/content/2019/Jun/shah-rukh-khan1-1561472824.jpg?w=900&h=1845&cc=1
Priyanka Chopra,Red Carpet,Gown,Satin,Jewel Tones,Sequins,Statement Earrings,https://wp.missmalini.com/wp-content/uploads/2020/04/Priyanka-Chopra.jpg
Priyanka Chopra,Traditional,Saree,Silk,Jewel Tones,Embroidery,"Bangles, Necklace",https://cdn.shopify.com/s/files/1/0625/7550/9710/files/priyanka1_480x480.jpg?v=1724670251
Ranveer Singh,Casual,Kurta,Cotton,Bright Colors,Bold Patterns,"Scarf, Watch",https://images.moneycontrol.com/static-mcnews/2024/05/20240516123936_Picture103-1.png
Kareena Kapoor,Traditional,Anarkali,Chiffon,"Neutrals, Pink",Embroidery,"Earrings, Bangles",https://5.imimg.com/data5/ECOM/Default/2022/7/FA/HK/JM/144140021/directgharpe-wceadb331-2-500x500.jpg
Kareena Kapoor,Red Carpet,Gown,Satin,"Neutrals, Pink",Minimalist,"Necklace, Earrings",https://c.ndtvimg.com/gws/ms/kareena-kapoors-red-carpet-fashion/assets/2.png
